repository	destination_path	component_id	category	origin	available_by	ownership_note
dotfiles	.config/shell/interactive.d/60-prompt.zsh	shell-base	config	old:.config/shell/interactive.d/60-prompt.zsh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/70-integrations.bash	split-shell	config	old:.config/shell/interactive.d/70-integrations.bash	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/70-integrations.zsh	split-shell	config	old:.config/shell/interactive.d/70-integrations.zsh	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/71-zsh-completion-cache.zsh	shell-base	config	old:.config/shell/interactive.d/71-zsh-completion-cache.zsh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/README.md	split-docs	docs	old:.config/shell/interactive.d/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/README.md	split-docs	docs	old:.config/shell/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/tmux/conf.d/10-base.conf	split-tmux	config	old:.config/tmux/tmux.conf	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/tmux/README.md	tmux-base	docs	old:.config/tmux/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/tmux/tmux.conf	split-tmux	config	old:.config/tmux/tmux.conf	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/wezterm/link-routes.lua	terminal-navigation	config	old:.config/wezterm/link-routes.lua	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/wezterm/public-link-rules.lua	terminal-navigation	config	old:.config/wezterm/public-link-rules.lua	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/wezterm/README.md	terminal-navigation	docs	old:.config/wezterm/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/wezterm/termnav-module.lua	terminal-navigation	config	old:.config/wezterm/termnav-module.lua	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/wezterm/wezterm.lua	terminal-navigation	config	old:.config/wezterm/wezterm.lua	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.github/cgraf78-actions.lock	repository-shared-bootstrap	repository	old:.github/cgraf78-actions.lock	bootstrap	owner=dotfiles; source=locked-dotfiles
dotfiles	.github/dependabot.yml	repository-shared-bootstrap	ci	old:.github/dependabot.yml	bootstrap	owner=dotfiles; source=locked-dotfiles
dotfiles	.github/dot-test-suites.txt	repository-root-ci	ci	new	d4	owner=dotfiles; source=new
dotfiles	.github/LICENSE	repository-shared-bootstrap	repository	old:.github/LICENSE	bootstrap	owner=dotfiles; source=locked-dotfiles
dotfiles	.github/overlay-profile-stack.lock	dot-control	control	new	d4	owner=dotfiles; source=new
dotfiles	.github/README.md	repository-root	repository	old:.github/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles
dotfiles	.github/shellcheck-files.txt	repository-shared-bootstrap	repository	old:.github/shellcheck-files.txt	d4	owner=dotfiles; source=locked-dotfiles
dotfiles	.github/workflows/retry-infrastructure.yml	repository-shared-bootstrap	ci	old:.github/workflows/retry-infrastructure.yml	bootstrap	owner=dotfiles; source=locked-dotfiles
dotfiles	.github/workflows/test.yml	repository-shared-bootstrap	ci	old:.github/workflows/test.yml	d4	owner=dotfiles; source=locked-dotfiles
dotfiles	.inputrc	shell-base	config	old:.inputrc	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/bin/clip	local-bin-clip	runtime	old:.local/bin/clip	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/bin/dot	local-bin-dot	runtime	old:.local/bin/dot	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/bin/git	git-bootstrap	runtime	old:.local/bin/git	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/bin/README.md	split-docs	docs	old:.local/bin/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/bin/shell-time	shell-base	runtime	old:.local/bin/shell-time	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/agent-playbooks.sh	agent-rules	runtime	old:.local/lib/dotfiles/agent-playbooks.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation; family=base
dotfiles	.local/lib/dotfiles/doctor.d/10-shell.sh	shell-base	doctor	old:.local/lib/dotfiles/doctor.d/10-shell.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/20-tools.sh	split-doctor	doctor	old:.local/lib/dotfiles/doctor.d/20-tools.sh	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/30-shell-integrations.sh	split-doctor	doctor	old:.local/lib/dotfiles/doctor.d/30-shell-integrations.sh	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/41-agent-rules.sh	agent-rules	doctor	old:.local/lib/dotfiles/doctor.d/41-agent-rules.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation; family=base
dotfiles	.local/lib/dotfiles/doctor.d/60-cron.sh	local-lib-dotfiles-doctor-d-60-cron-sh	doctor	old:.local/lib/dotfiles/doctor.d/60-cron.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/lib/agent-rules.sh	agent-rules	doctor	old:.local/lib/dotfiles/doctor.d/lib/agent-rules.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation; family=base
dotfiles	.local/lib/dotfiles/doctor.d/lib/compat.sh	dot-extension-runtime	doctor	old:.local/lib/dotfiles/doctor.d/lib/compat.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/lib/cron.sh	local-lib-dotfiles-doctor-d-lib-cron-sh	doctor	old:.local/lib/dotfiles/doctor.d/lib/cron.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/lib/integrations.sh	split-doctor	doctor	old:.local/lib/dotfiles/doctor.d/lib/integrations.sh	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/lib/shdeps-assets.sh	dot-extension-runtime	doctor	old:.local/lib/dotfiles/doctor.d/lib/shdeps-assets.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/lib/shell.sh	shell-base	doctor	old:.local/lib/dotfiles/doctor.d/lib/shell.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/lib/tools.sh	split-doctor	doctor	old:.local/lib/dotfiles/doctor.d/lib/tools.sh	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/doctor.d/README.md	local-lib-dotfiles-doctor-d-readme-md	doctor	old:.local/lib/dotfiles/doctor.d/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/launcher-real.sh	local-lib-dotfiles-launcher-real-sh	runtime	old:.local/lib/dotfiles/launcher-real.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.local/lib/dotfiles/merge-hooks.d/agent-rules.sh	agent-rules	runtime	old:.local/lib/dotfiles/merge-hooks.d/agent-rules.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation; family=base
